,ip,sum(bytes)
0,139.121.98.45,5041738
1,203.251.228.110,3785626
2,155.84.92.3,3353172
3,198.102.67.27,3182052
4,161.122.12.78,3008684
5,156.98.205.46,1938034
6,141.243.1.172,1634402
7,204.7.162.158,1463223
8,129.237.24.71,1274796
9,137.219.55.101,1162480
10,146.138.145.184,1118189
11,146.138.145.206,1098374
12,146.138.34.168,1079474
13,128.159.128.27,1052103
14,130.19.10.65,957522
15,156.41.19.11,798931
16,198.106.169.52,788749
17,131.167.25.3,784339
18,204.130.16.23,758336
19,163.234.224.24,604773
20,149.168.51.35,531611
21,128.144.102.56,521757
22,128.120.153.224,480433
23,129.130.232.64,454963
24,141.161.18.205,444230
25,142.28.2.67,398729
26,160.69.35.16,393035
27,198.109.136.238,386134
28,202.39.249.142,378246
29,131.52.16.102,373394
30,200.246.227.108,368777
31,148.224.17.200,367193
32,147.160.9.21,353226
33,128.227.152.54,343634
34,160.80.14.61,340602
35,156.63.59.132,339453
36,146.138.145.126,335188
37,149.252.214.79,334712
38,204.242.57.164,325549
39,128.252.99.104,325001
40,192.48.125.149,310715
41,164.159.7.12,307570
42,198.137.145.112,290483
43,165.151.47.249,284453
44,155.84.91.40,275464
45,128.253.25.114,269703
46,164.155.1.107,267469
47,128.163.40.45,258067
48,199.77.34.51,253685
49,150.216.15.85,252733
50,204.62.245.32,240139
51,204.178.177.96,237817
52,164.64.142.46,235403
53,143.166.206.84,232810
54,198.165.30.147,232428
55,146.114.26.12,228495
56,199.8.210.73,221831
57,198.88.26.109,220449
58,156.63.91.107,216768
59,128.163.17.212,212306
60,194.20.235.12,211300
61,131.167.99.88,209201
62,170.142.111.131,207919
63,204.91.136.26,206292
64,204.248.203.107,204373
65,156.63.99.189,204090
66,163.234.112.177,201534
67,146.138.145.203,198581
68,199.126.17.71,190561
69,163.234.116.45,179570
70,141.173.58.82,177600
71,131.126.30.164,175957
72,131.92.168.211,173168
73,198.104.228.83,173062
74,128.138.177.44,167591
75,192.88.13.159,166495
76,163.191.186.9,165420
77,204.188.47.212,162121
78,134.186.196.23,161147
79,202.32.50.6,159922
80,198.85.72.63,158097
81,158.229.201.74,157168
82,168.95.125.161,156621
83,128.138.177.19,156204
84,131.167.48.39,155930
85,38.12.1.131,155335
86,131.178.81.68,152564
87,192.146.118.133,147980
88,150.200.42.20,147822
89,192.137.112.52,142748
90,157.190.64.20,141854
91,148.149.107.147,139325
92,148.224.17.21,137500
93,147.160.9.24,136649
94,131.92.128.99,136556
95,146.184.114.116,136544
96,139.121.79.159,134858
97,144.207.78.19,134184
98,204.185.50.21,131631
99,134.20.62.234,130983
